TSt	TS	UMt	UM	SOt	SO
0.0333333	365218	0.0333333	807290	1.01667	1637780
0.0666667	195017	0.0666667	388209	4.08333	889529
0.116667	165184	0.133333	286249	7.15	702092
0.15	149869	0.183333	235329	10.2167	599970
0.2	139526	0.25	203818	13.3	539849
0.25	133768	0.3	183186	16.3833	501095
0.283333	129622	0.366667	161719	19.4667	475046
0.333333	125739	0.416667	151310	22.55	456967
0.366667	123081	0.483333	143283	25.65	442932
0.416667	120387	0.533333	135423	28.75	432554
0.466667	118360	0.6	128296	31.8667	425277
0.5	116862	0.65	121140	34.9667	419531
0.55	114649	0.716667	112805	38.05	414906
0.583333	112604	0.766667	109488	41.15	411487
0.616667	112035	0.833333	104863	44.25	408855
0.666667	111598	0.883333	97958.6	47.35	406893
0.716667	110690	0.95	95233.5	50.45	405745
0.75	110362	1	91356.4	53.55	404795
0.8	109687	1.06667	88694.8	56.65	404293
0.833333	109000	1.11667	85483.9	59.75	404037
0.883333	108190	1.18333	82912.5	62.85	403929
0.916667	107426	1.23333	80531.3	65.95	403974
0.966667	106969	1.3	78238.8	69.05	404216
1	106716	1.35	77093.6	72.1667	404465
1.05	105996	1.41667	76348.5	75.2667	404843
1.08333	104910	1.46667	75130.4	78.4667	405250
1.13333	104503	1.53333	74682.4	81.8167	405367
1.18333	104106	1.58333	73601.1	85.15	405385
1.23333	103959	1.65	71954.3	88.4833	405578
1.28333	102988	1.7	71038.6	91.8167	405845
1.31667	102922	1.76667	70299.7	95.1667	405906
1.36667	102148	1.81667	69477.4	98.5	405978
1.4	101912	1.88333	68511.9	101.85	406046
1.45	101414	1.93333	67222.2	105.2	406150
1.48333	100653	2	65985.9	108.567	406176
1.53333	100627	2.05	65376.5	111.9	406215
1.56667	100593	2.11667	64439.8	115.25	406201
1.61667	100588	2.16667	63670.8	118.6	406250
1.65	100050	2.23333	62127.9	121.933	406325
1.68333	99533.3	2.28333	60873.7	125.267	406393
1.73333	99208.8	2.35	59669	128.617	406419
1.78333	99039.9	2.4	59235.7	131.967	406493
1.81667	99008.6	2.46667	59011.8	135.3	406519
1.86667	99200.6	2.51667	58406.5	138.65	406532
1.9	97628.5	2.58333	57897.4	142	406570
1.95	97057.8	2.63333	57534	145.35	406605
1.98333	97041.2	2.7	56363.3	148.7	406613
2.03333	96857.3	2.75	55519.9	152.05	406631
2.08333	96524.3	2.81667	55174.1	155.4	406648
2.11667	96153.1	2.86667	54918.5	158.75	406653
2.16667	95901.4	2.93333	54470.3	162.1	406643
2.2	95573.1	2.98333	54399.6	165.433	406653
2.25	95025	3.05	54197.7	168.783	406664
2.28333	94875.2	3.1	53648	172.117	406666
