SVt	SV	Vt	V	SSVt	SSV	PSSVt	PSSV
0.0333333	364483	0.683333	364595	0.05	370476	0.0333333	365218
0.0666667	371157	1.38333	80256.1	0.1	195469	0.0666667	195017
0.1	373309	2.1	72398	0.166667	165220	0.116667	165184
0.15	379426	2.81667	70653.6	0.216667	151605	0.15	149869
0.183333	385201	3.53333	69839.5	0.266667	140814	0.2	139526
0.216667	386757	4.23333	69421.2	0.333333	133374	0.25	133768
0.266667	389562	4.91667	69378.1	0.383333	128405	0.283333	129622
0.3	390652	5.61667	69082.8	0.433333	125396	0.333333	125739
0.333333	392427	6.33333	68652.1	0.5	121388	0.366667	123081
0.383333	394025	7.03333	67923.7	0.55	119661	0.416667	120387
0.416667	391902	7.75	67250.9	0.616667	117742	0.466667	118360
0.45	389682	8.45	65990.8	0.666667	115944	0.5	116862
0.483333	390520	9.16667	65236.8	0.716667	114310	0.55	114649
0.533333	392105	9.86667	64640.8	0.783333	113617	0.583333	112604
0.566667	393739	10.55	64140.6	0.833333	112768	0.616667	112035
0.6	389579	11.2667	62394.2	0.883333	112468	0.666667	111598
0.65	387290	11.9833	62024.7	0.95	112058	0.716667	110690
0.683333	382760	12.6833	61644.9	1	110609	0.75	110362
0.716667	382320	13.3833	61272.3	1.05	110416	0.8	109687
0.766667	383595	14.0833	60956.3	1.13333	109906	0.833333	109000
0.8	384428	14.8	60692.7	1.18333	109496	0.883333	108190
0.833333	383123	15.5	59597.8	1.25	109254	0.916667	107426
0.883333	384170	16.1833	59413.4	1.3	108708	0.966667	106969
0.916667	385238	16.8833	59178.7	1.35	108501	1	106716
0.95	384398	17.6167	58949.3	1.41667	107919	1.05	105996
1	386042	18.3167	58827.1	1.46667	107664	1.08333	104910
1.03333	385405	19.0333	58758.1	1.51667	106793	1.13333	104503
1.06667	384439	19.7167	58690.3	1.58333	106707	1.18333	104106
1.11667	383159	20.4333	58630.3	1.63333	106058	1.23333	103959
1.15	383968	21.1333	57467.4	1.68333	105356	1.28333	102988
1.18333	382816	21.8333	57462.6	1.75	105001	1.31667	102922
1.21667	383834	22.5333	57411.9	1.8	104301	1.36667	102148
1.26667	384970	23.2333	57424.1	1.88333	103235	1.4	101912
1.3	378198	23.9333	56120.5	1.93333	103054	1.45	101414
1.33333	363567	24.6333	56143.4	1.98333	102611	1.48333	100653
1.38333	364535	25.3333	56152.1	2.05	102641	1.53333	100627
1.41667	365302	26.05	56199.3	2.1	101972	1.56667	100593
1.45	365877	26.7333	56237.7	2.15	101676	1.61667	100588
1.5	364754	27.4333	56311.8	2.21667	101215	1.65	100050
1.53333	365667	28.1333	56332.2	2.26667	100853	1.68333	99533.3
1.56667	366159	28.8333	56370.3	2.31667	99937.5	1.73333	99208.8
1.61667	366108	29.5333	56405	2.38333	99636.7	1.78333	99039.9
1.65	366433	30.2333	56425.7	2.43333	98814.1	1.81667	99008.6
1.68333	366926	30.9333	54790.5	2.5	98517.7	1.86667	99200.6
1.73333	367914	31.65	54806.1	2.55	98141.3	1.9	97628.5
1.76667	368773	32.35	54809.9	2.61667	97934.6	1.95	97057.8
1.8	369665	33.05	54817.3	2.68333	97073.2	1.98333	97041.2
